Immoweb code,Price_1,Price_2,country,region,province,district,locality,postalCode,street,number,box,propertyName,floor,latitude,longitude,Available as of,Available date,Neighbourhood or locality,Construction year,Floor,Number of floors,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Toilets,Basement,Furnished,Terrace surface,Elevator,Accessible for disabled people,TV cable,Visio phone,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Thermic solar panels,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Street frontage width,Covered parking spaces,Basement surface,Monthly charges, 212,null,50.85,4.42,Virtual visit,Dining room,Shower rooms,Intercom,Agent's name,Bedroom 3 surface,Armored door,Property name,Laundry room,Terrace orientation,Caretaker,Common water heater,Living room,Total ground floor buildable,Terrace,Attic,Bedroom 4 surface,Office surface,Office,Secure access / alarm,E-level (overall energy performance),Heat pump,Photovoltaic solar panels,Surface of the plot,Width of the lot on the street,"Gas, water & electricity",Garden surface,Garden orientation,Conformity certification for fuel tanks,Dressing room,Professional space,Connection to sewer network,Jacuzzi,Sauna,Type of building,How many fireplaces?,Garden, 1,50.52,5.24,Air conditioning,Internet,Obligation to build,Number of annexes, 95,4.41,Professional space surface,Attic surface, 202,50.9,3.4, 131,51.35,3.28, 9a,50.84,4.46,Extra information, 8,51.23,4.4, 120,4.47, 72 \\/ 0002,51.22,3.22,Venue of the sale,Single session,Terms of visit,Starting price,Isolated,Bedroom 5 surface, 69,50.46,3.96, 37, 5,50.61,3.39,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant, 303,50.68,4.19, 15,50.8,5.34, 30,51.21,4.25, 9,50.81,4.43, 273,50.67,5.25,,50.72,4.51, 92,50.73, 2, 390 bus 001,51.04,3.71, 21, 518,50.79,4.49, 40,50.83,4.45, 22,3.12, 3 ,Sea view, 38,50.63,5.56, 24,50.93,4.37, ,50.82,50.74,3.6, 16,49.68,5.81,EPC description, 27,4.58, 11,4.35,Land is facing street,Wooded land,Plot at rear,Flat land,Current monthly revenue, 3,4.95,Maximum duration of annuity, Place Sabatier,50.41,4.38,26,50.7,5.65,4.04,Age of annuitants, 171,49.85,5.45, Chauss\\u00e9e de Lille,50.6,3.37, 10A,50.77,4.34, 21C,50.92,4.64, 277,4.39, 238, 37-39, 33,51.27,3.03, 690,108 b21,50.86,4.31
10161757,"€225,000",225000€,Belgium,null,Antwerp,Antwerp,Wilrijk,2610,Prins Boudewijnlaan 122,null,null,null,null,51.18,4.42,After signing the deed,,,1967,2,4,To be done up,2,,,88m²square meters,30m²square meters,,15m²square meters,3,14m²square meters,12m²square meters,1,1,Yes,No,3m²square meters,Yes,,,,,182kWh/m²kilowatt hour per square meters,B,20220810-0002653650-RES-1,Not specified,Not specified,No,Gas,,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",€ 875875 €,No,Prins Boudewijnlaan 1222610- Wilrijk,,6037 - TK2208-05,,,,€ 190190 €,,,,,,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148189,"€180,000",180000€,Belgium,null,East Flanders,Gent,Mariakerke,9030,Alphonse Claeys-Bou\\u00fcaertlaan 57\\/001,null,null,null,null,51.07,3.68,After signing the deed,,,1993,1,,Good,2,,,46m²square meters,,Semi equipped,,1,,,1,1,,No,,,,,,,363kWh/m²kilowatt hour per square meters,D,20220929-0002685361-RES-1,Not specified,Not specified,No,Electric,,Yes,,,,,,,"€ 180,000180000 €",,No,Alphonse Claeys-Bouüaertlaan 57/0019030- Mariakerke,http://www.convas.be,1677 - 1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146858,"€189,000",189000€,Belgium,null,Flemish Brabant,Halle-Vilvoorde,Humbeek,1851,Molenstraat 93,null,null,null,null,50.96,4.37,Depending on the tenant,,,1976,2,6,As new,,,Urban,32m²square meters,24m²square meters,Installed,,1,,,1,1,,,,Yes,No,,,No,231kWh/m²kilowatt hour per square meters,E,20220929-0000621753-01-3,36 kg CO₂/m²,Not specified,,Electric,,Yes,,,,,,,"€ 189,000189000 €",,No,Molenstraat 931851- Humbeek,http://www.homerun.immo,4964147,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146820,"€340,000",340000€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,1 Avenue Henri Bourgys,null,null,null,null,50.84,4.4,After signing the deed,,Bruxelles (19 communes),2022,2,3,As new,2,,,57m²square meters,27m²square meters,Hyper equipped,6m²square meters,1,14m²square meters,,1,1,Yes,No,,No,No,,Yes,No,91kWh/m²kilowatt hour per square meters,B,Not specified,18 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,,,"€ 340,000340000 €",,No,1 Avenue Henri Bourgys1410- Waterloo,http://www.newdeal.immo,4896491,,,,,,,,,Link to the virtual visit,,1,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146817,"€435,000",435000€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,1 Avenue Henri Bourgys,null,null,null,null,50.84,4.4,After signing the deed,,Bruxelles (19 communes),2022,2,3,As new,2,,,76m²square meters,38m²square meters,Hyper equipped,,1,16m²square meters,,1,1,Yes,No,,No,No,,Yes,No,84kWh/m²kilowatt hour per square meters,B,Not specified,16 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,,,"€ 435,000435000 €",,No,1 Avenue Henri Bourgys1410- Waterloo,http://www.newdeal.immo,4896524,,,,,,,,,Link to the virtual visit,,1,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146818,"€470,000",470000€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,1 Avenue Henri Bourgys,null,null,null,null,50.84,4.4,After signing the deed,,Bruxelles (19 communes),2022,1,3,As new,2,,,76m²square meters,38m²square meters,Hyper equipped,6m²square meters,1,16m²square meters,,1,1,Yes,No,6m²square meters,No,No,,Yes,No,93kWh/m²kilowatt hour per square meters,B,Not specified,18 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,,,"€ 470,000470000 €",,No,1 Avenue Henri Bourgys1410- Waterloo,http://www.newdeal.immo,4896511,,,,,,,,,Link to the virtual visit,,1,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146819,"€495,000",495000€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,1 Avenue Henri Bourgys,null,null,null,null,50.84,4.4,After signing the deed,,Bruxelles (19 communes),2022,3,3,As new,2,,,82m²square meters,27m²square meters,Hyper equipped,6m²square meters,2,17m²square meters,15m²square meters,2,2,Yes,No,8m²square meters,No,No,,Yes,No,113kWh/m²kilowatt hour per square meters,C,Not specified,22 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,,,"€ 495,000495000 €",,No,1 Avenue Henri Bourgys1410- Waterloo,http://www.newdeal.immo,4896498,,,,,,,,,Link to the virtual visit,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146816,"€645,000",645000€,Belgium,null,Walloon Brabant,Nivelles,Waterloo,1410,1 Avenue Henri Bourgys,null,null,null,null,50.84,4.4,After signing the deed,,Bruxelles (19 communes),2022,3,3,As new,2,,Urban,115m²square meters,38m²square meters,Hyper equipped,6m²square meters,2,28m²square meters,10m²square meters,2,2,Yes,No,11m²square meters,No,No,,Yes,No,107kWh/m²kilowatt hour per square meters,C,Not specified,21 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,,,"€ 645,000645000 €",,No,1 Avenue Henri Bourgys1410- Waterloo,http://www.newdeal.immo,4896531,,,,,,,,,Link to the virtual visit,,1,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152845,"€285,000",285000€,Belgium,null,Namur,Namur,Gembloux,5030,Chaussee de Charleroi 59 B,null,null,null,null,50.57,4.69,After signing the deed,,,2006,2,3,Good,3,,,93m²square meters,31m²square meters,Installed,,2,17m²square meters,12m²square meters,1,2,Yes,No,11m²square meters,Yes,Yes,,Yes,,110kWh/m²kilowatt hour per square meters,B,20130501016743,21 kg CO₂/m²,12323 kWh/year,No,Gas,,Yes,,,,,,,"€ 285,000285000 €","€ 1,2041204 €",No,Chaussee de Charleroi 59 B5030- Gembloux,http://www.trevitessier.be,194 - 93363926,24 m,1,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,South East,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152533,"€295,000",295000€,Belgium,null,Walloon Brabant,Nivelles,Tubize,1480,Rue de Bruxelles 60,null,null,null,null,50.68,4.2,After signing the deed,,,1995,2,2,Just renovated,3,,,109m²square meters,27m²square meters,Installed,10m²square meters,2,14m²square meters,9m²square meters,1,2,Yes,No,5m²square meters,Yes,,,,,282kWh/m²kilowatt hour per square meters,C,20220119-0002522425-RES-1,1000 kg CO₂/m²,Not specified,No,Gas,,Yes,,,,,,,"€ 295,000295000 €","€ 3,3463346 €",No,Rue de Bruxelles 601480- Tubize,http://www.immo-star.be,3037 - V2237,,1,,€ 200200 €,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046455,"€299,000","€324,000",Belgium,null,Antwerp,Mechelen,Puurs,2870,Dorpshart 10,null,null,null,null,51.08,4.28,After signing the deed,,,1997,4,4,Good,2,,,122m²square meters,37m²square meters,Hyper equipped,16m²square meters,2,22m²square meters,16m²square meters,1,1,,No,12m²square meters,Yes,,,,,173kWh/m²kilowatt hour per square meters,B,20220802-0002649158-RES-1,Not specified,Not specified,No,Gas,,Yes,,,,,,,"€ 299,000299000 €",€ 837837 €,No,Dorpshart 102870- Puurs,http://www.trevi-axus.be,9519 - TK/22060/5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162732,"€295,000",295000€,Belgium,null,West Flanders,Brugge,Zeebrugge,8380,Vismynstraat 13,null,null,null,null,51.33,3.2,,,,,2,,Good,,,,62m²square meters,,,,2,,,1,1,Yes,No,,Yes,,,,,204kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Electric,,Yes,Yes,No,No,No,Non flood zone,,"€ 295,000295000 €",€ 910910 €,No,Vismynstraat 138380- Zeebrugge,,,,1,,,,,,,,,,,,,,,,,No,,,,,,,,,No,204,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162728,"€210,000",210000€,Belgium,null,Antwerp,Antwerp,Edegem,2650,Strijdersstraat 8,null,null,null,null,51.16,4.44,After signing the deed,,,1972,9,17,Good,2,,,91m²square meters,33m²square meters,Semi equipped,9m²square meters,2,14m²square meters,14m²square meters,1,1,,No,17m²square meters,Yes,,,,,153kWh/m²kilowatt hour per square meters,B,20220728-0002646943-RES-1,Not specified,Not specified,No,Gas,,Yes,,Yes,No,,Non flood zone,,"€ 210,000210000 €",€ 840840 €,No,Strijdersstraat 82650- Edegem,http://www.immovivo.be,2239 - 22-20079,,,,€ 232232 €,,,,,,,,,,,Yes,Memling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162727,"€335,000",335000€,Belgium,null,Antwerp,Antwerp,Edegem,2650,Strijdersstraat 8,null,null,null,null,51.16,4.44,After signing the deed,,,,,,,2,,,160m²square meters,55m²square meters,Installed,30m²square meters,3,19m²square meters,19m²square meters,1,1,Yes,No,22m²square meters,,,,,,358kWh/m²kilowatt hour per square meters,D,20220824-0002661073-RES-1,Not specified,Not specified,No,Gas,,Yes,,,,,,,"€ 335,000335000 €",,No,Strijdersstraat 82650- Edegem,http://www.immovivo.be,2240 - 22-20080,5 m,,,,,,,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,101m²square meters,5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162726,"€299,000",299000€,Belgium,null,Antwerp,Antwerp,Edegem,2650,Strijdersstraat 8,null,null,null,null,51.16,4.44,Immediately,,Drie eiken,,,,To renovate,2,,,163m²square meters,30m²square meters,Semi equipped,10m²square meters,4,38m²square meters,12m²square meters,1,1,,No,35m²square meters,,,,,,669kWh/m²kilowatt hour per square meters,F,20220719-0002643051-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,,,,,Non flood zone,,"€ 299,000299000 €",€ 659659 €,No,Strijdersstraat 82650- Edegem,http://www.immovivo.be,2241 - 22-20077,5 m,,20m²square meters,,,,,,,,,,,12m²square meters,,,,,,,,,,,8m²square meters,,,,,,,290m²square meters,5 mmeters,Yes,200m²square meters,North East,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162722,"€549,000",549000€,Belgium,null,West Flanders,Tielt,Tielt,8700,Markt 32,null,null,null,null,51,3.33,To be defined,,,,2,,As new,,1,,271m²square meters,,Hyper equipped,,3,,,,2,,No,,Yes,,,,No,85.04kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,,Yes,Yes,,No,No,Non flood zone,,"€ 549,000549000 €",,No,Markt 328700- Tielt,,,,1,,,,,,,,,,,,,,,,South,No,,,,Yes,,,,,No,60,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162721,"€339,000",339000€,Belgium,null,Antwerp,Antwerp,Brasschaat,2930,Kapelsesteenweg 348,null,null,null,null,51.29,4.44,To be defined,,,,,,As new,,,,100m²square meters,35m²square meters,Hyper equipped,9m²square meters,2,13m²square meters,10m²square meters,,1,,No,,,,,,,136.95kWh/m²kilowatt hour per square meters,B,11002-G-2011_47413/EP06487/A001/D01/SD002,Not specified,Not specified,,Gas,,Yes,Yes,No,,No,Non flood zone,"Living area (residential, urban or rural)","€ 339,000339000 €",,No,Kapelsesteenweg 3482930- Brasschaat,,,,,,,,,,,,,,,,,,,,South East,,,,,Yes,,,,,,70,No,,,,,227m²square meters,South East,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162719,"€475,000",475000€,Belgium,null,Namur,Namur,Namur ,5000,Rue de Marchovelette 17,null,null,null,null,50.48,4.89,,,,1918,,,,2,,,260m²square meters,21m²square meters,,34m²square meters,4,,,3,,,No,37m²square meters,No,No,Yes,,No,216kWh/m²kilowatt hour per square meters,C,20160930019490,Not specified,16096 kWh/year,,Gas,No,Yes,,No,No,No,Non flood zone,Another type of area,"€ 475,000475000 €",,Yes,Rue de Marchovelette 175000- Namur,http://WWW.ERA.BE/LACLE,,13 m,,,,,,,,,,,,,,No,,,,,No,,,,,,22m²square meters,Yes,No,216,No,No,1530m²square meters,13 mmeters,Yes,,,,,Yes,Connected,No,No,Apartment building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114017,"€475,000","€495,000",Belgium,null,East Flanders,Dendermonde,Dendermonde,9200,Zuidlaan 2,null,null,null,null,51.03,4.1,After signing the deed,,,1986,,,Good,4,4,,260m²square meters,50m²square meters,Installed,,4,,,1,2,,No,,,,,,,529kWh/m²kilowatt hour per square meters,F,265017-RES-2,Not specified,Not specified,No,Electric,,Yes,,,,,,,"€ 475,000475000 €","€ 1,1131113 €",No,Zuidlaan 29200- Dendermonde,http://www.immotwins.be,15801 - 114121390,16 m,2,,,,,,,,,1,,,,,,,,,,,,Yes,,,,,Yes,,,,783m²square meters,23 mmeters,Yes,,North West,,,,,,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138456,"€225,000",225000€,Belgium,null,East Flanders,Gent,Gent,9000,Sint-Denijslaan 1,null,null,null,null,51.03,3.72,After signing the deed,,Gent en omstreken,2017,2,2,As new,2,1,Urban,70m²square meters,42m²square meters,Installed,,1,15m²square meters,,1,2,,No,5m²square meters,No,No,Yes,Yes,No,125kWh/m²kilowatt hour per square meters,B,42026-G-2010/0142/EP11505/A001/D01/SD003,Not specified,Not specified,,Gas,,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",€ 547547 €,No,Sint-Denijslaan 19000- Gent,http://www.immodavinci.be,4959933,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139511,"€259,000",349000€,Belgium,null,East Flanders,Gent,Gentbrugge,9050,Brusselsesteenweg 690,null,null,null,null,51.03,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,110kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,,,,Yes,,Yes,No,Non flood zone,,,,Yes,Brusselsesteenweg 6909050- Gentbrugge,http://www.landbergh.be/,VK22051 - RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138534,"€310,000",310000€,Belgium,null,Flemish Brabant,Leuven,Herent,3020,Mechelsesteenweg 382,null,null,null,null,50.9,4.67,,,,1993,1,,Good,2,,,103m²square meters,,Semi equipped,,2,,,1,1,,No,30m²square meters,Yes,,,,,238kWh/m²kilowatt hour per square meters,C,Certificaat-20220922-0002680468-RES-1,Not specified,Not specified,No,Gas,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 310,000310000 €","€ 1,1191119 €",No,Mechelsesteenweg 3823020- Herent,http://www.immolivit.be,1995658 - 2722,55 m,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139639,"€352,800",772800€,Belgium,null,Antwerp,Antwerp,Antwerpen,2000,Orteliuskaai,,,,,,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Yes,,,,,No,No,No,Non flood zone,No,,,,"Orteliuskaai, 82000- Antwerpen",http://www.reds.be,,,,,,,,latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number,longitude,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140213,"€390,000",390000€,null,null,null,null,null,null,null,null,null,null,null,null,null,After signing the deed,,,1973,2,4,Just renovated,1,,"Living area (residential, urban or rural)",88m²square meters,27m²square meters,USA installed,8m²square meters,2,14m²square meters,9m²square meters,1,1,,,8m²square meters,Yes,Yes,No,No,No,176kWh/m²kilowatt hour per square meters,B,20220920-0002678778-RES-1,Not specified,Not specified,,Fuel oil,No,No,,,,,,,"€ 390,000390000 €",€ 760760 €,No,,,,,1,7m²square meters,€ 250250 €,,,,,,,,Yes,,,Yes,,Yes,South East,No,Yes,,,,,,,No,No,,No,No,,,,,,,No,No,,Yes,No,Apartment building,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138601,"€455,000",915000€,Belgium,null,Brussels,Brussels,Ixelles,1050,Avenue Louis Lepoutre 112,null,null,null,null,50.82,4.36,After signing the deed,,,,,,,,3,,,,,,,,,,,,,,,,,,,55kWh/m²kilowatt hour per square meters,B,B+,Not specified,Not specified,,,,,Yes,,,,,,,,No,Avenue Louis Lepoutre 1121050- Ixelles,http://www.lecobel-vaneau.be,4960147,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138633,"€595,000",595000€,Belgium,null,Flemish Brabant,Halle-Vilvoorde,Kraainem,1950,Wezembeeklaan,,,,,,,2008,,,1,5,As new,5.58 m,,Urban,120m²square meters,36m²square meters,USA hyper equipped,10m²square meters,3,16m²square meters,12m²square meters,11m²square meters,2,Yes,No,13m²square meters,Yes,Yes,No,,,122kWh/m²kilowatt hour per square meters,C,20160922-0000355653-01-8,25 kg CO₂/m²,Not specified,Gas,,Yes,,,134m²square meters,No,No,Non flood zone,Residential park,"€ 595,000595000 €","€ 2,2442244 €",No,"Wezembeeklaan, 1201950- Kraainem",http://www.keystones.be,4931227,,2,,,,,latitude,longitude,,,,2,,,2,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number,After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
